date,price,volatility,cash,short_shares,short_value,short_proceeds,short_pnl,call_value,net_liquidation,num_calls,total_call_premium,num_call_contracts,cash_buffer_ratio
2023-01-03,25.705266666666667,1.074222388046882,11974.430381025937,100,2570.5266666666666,2570.5266666666666,0.0,596.0962856407292,12570.526666666667,1,596.0962856407292,1,4.658356801469713
2023-01-04,23.611866666666668,1.1052683693417584,11974.430381025937,100,2361.186666666667,2570.5266666666666,209.3399999999997,527.3366888619548,12711.107069887892,1,596.0962856407292,1,5.071361171935836
2023-01-05,24.913133333333334,1.1070139833186903,11974.430381025937,100,2491.3133333333335,2570.5266666666666,79.21333333333314,588.2167552378017,12641.860469597072,1,596.0962856407292,1,4.8064730440808745
2023-01-06,21.430400000000002,1.1608777084504593,13546.455483667556,200,4286.080000000001,4713.5666666666675,427.4866666666667,1046.3794125847044,15020.321562918929,2,1167.111182999111,2,3.1605699108900334
2023-01-09,20.185799999999997,1.1703319317163448,13546.455483667556,200,4037.1599999999994,4713.5666666666675,676.4066666666681,936.8366573441158,15159.69880767834,2,1167.111182999111,2,3.3554418164421422
2023-01-10,19.406266666666667,1.1698150194527999,13546.455483667556,200,3881.2533333333336,4713.5666666666675,832.313333333334,862.8449299686321,15241.613746969522,2,1167.111182999111,2,3.4902270787960816
2023-01-11,18.677,1.1497475547514169,13546.455483667556,200,3735.4,4713.5666666666675,978.1666666666674,767.3235626318682,15291.945712966091,2,1167.111182999111,2,3.6265073308528017
2023-01-12,18.0672,1.1515336501621296,13546.455483667556,200,3613.44,4713.5666666666675,1100.1266666666675,716.6253095236361,15363.207459857858,2,1167.111182999111,2,3.7489083764134885
2023-01-13,17.884933333333333,1.0033239603266189,13546.455483667556,200,3576.9866666666667,4713.5666666666675,1136.5800000000008,502.3575496574631,15185.393033325021,2,1167.111182999111,2,3.7871137764936846
2023-01-17,17.721466666666668,1.0007555882554062,13546.455483667556,200,3544.2933333333335,4713.5666666666675,1169.273333333334,480.7450321002652,15196.473849101156,2,1167.111182999111,2,3.822046938459069
2023-01-18,18.048266666666667,0.9965758841103208,13546.455483667556,200,3609.653333333333,4713.5666666666675,1103.9133333333343,495.07589593999205,15145.444712940882,2,1167.111182999111,2,3.7528411270336828
2023-01-19,19.5822,1.021560156195593,13546.455483667556,200,3916.44,4713.5666666666675,797.1266666666675,635.136698625427,14978.71884895965,2,1167.111182999111,2,3.458869658074056
